date,value
2016-05-14,5859.84
2016-03-07,6835.49
2016-08-20,5406.39
2016-02-22,7055.56
2016-12-30,5162.51
2016-04-05,8339.57
2017-01-29,7185.71
2016-05-25,8921.58
2017-01-27,8879.49
2016-03-22,7514.76
2016-06-22,8922.0
2016-05-11,6780.8
2017-01-15,8211.82
2016-04-14,5514.82
2016-06-05,6602.38
2016-11-15,5322.77
2016-10-08,6149.54
2016-08-30,8772.58
2016-10-10,8954.32
2017-01-01,6905.64
2016-12-08,7405.11
2016-03-08,6384.8
2016-05-08,7852.54
2016-11-28,8295.53
2016-05-23,5964.59
2016-08-10,5447.31
2017-02-02,6898.15
2016-02-04,7439.16
2016-10-22,5403.55
2016-03-14,6590.29
2016-04-17,6567.26
2016-11-16,6282.69
2016-05-24,8287.55
2016-03-25,8518.65
2016-10-31,8173.89
2016-06-04,8128.2
2016-03-29,5736.01
2016-05-29,6424.89
2016-12-11,5618.02
2016-02-26,5829.92
2016-05-30,8249.88
2016-10-01,6105.94
2016-11-08,8661.41
2016-08-01,5120.57
2016-05-06,6349.55
2016-09-09,8834.14
2016-07-29,8257.07
2016-07-11,5648.29
2016-12-27,8303.13
2016-09-05,8911.6
2016-05-18,6345.0
2017-01-13,5319.71
2016-08-16,6566.93
2017-01-26,8549.97
2016-08-11,6397.19
2017-01-12,8535.14
2016-04-17,7427.05
2016-09-14,8401.1
2017-01-01,7954.71
2016-08-27,6886.4
2016-06-23,6850.13
2016-07-03,6705.03
2016-11-17,8197.9
2016-03-04,7938.88
2016-07-06,5030.72
2017-02-01,6262.6
2016-05-09,7652.88
2016-11-14,6810.49
2016-12-12,8579.33
2017-02-01,7542.17
2017-01-20,5557.3
2016-06-18,7424.51
2016-10-03,6365.12
2017-01-17,8552.71
2016-05-18,7194.64
2017-01-14,6494.59
2016-10-21,5111.82
2016-06-30,7976.87
2016-12-02,8857.42
2016-12-21,8425.77
2016-11-12,6962.69
2016-10-15,8650.54
2016-07-29,7920.47
2017-01-29,8208.45
2016-02-07,5646.89
2016-12-09,6205.86
2016-10-17,7871.66
2016-10-12,7747.11
2016-04-23,5025.82
2017-02-01,6661.66
2016-04-02,7826.62
2016-04-02,5490.7
2016-02-13,5973.82
2016-03-07,8204.29
2016-05-10,7933.53
2016-12-12,7845.3
2016-02-14,7599.72
2016-04-21,6562.29
2016-07-23,6141.79
2016-06-27,5881.36
2016-06-29,8949.3
2016-06-02,7498.66
2016-07-16,6769.15
2016-05-06,6057.16
2017-01-08,5022.48
2016-04-03,8552.78
2016-02-19,8697.41
2016-10-26,6510.61
2016-10-23,8197.6
2016-11-30,8323.77
2016-05-23,7245.35
2016-07-12,8071.13
2016-08-09,5688.32
2016-05-06,6671.01
2016-04-11,5144.26
2016-11-08,6996.94
2016-09-02,6736.94
2016-10-17,5398.41
2016-04-23,7895.84
2016-11-05,6454.55
2016-03-19,8981.04
2016-11-30,6860.82
2017-01-07,8058.24
2016-12-25,6822.29
2016-08-03,5014.57
2016-07-31,8671.93
2016-04-22,7415.14
2017-01-04,6236.06
2016-09-20,5709.04
2016-04-20,6997.77
2016-02-09,8686.59
2016-10-14,6404.27
2016-11-11,6428.56
2016-07-24,8569.14
2016-09-28,6899.56
2016-10-01,7616.0
2016-03-11,8193.59
2016-06-22,5026.42
2016-09-02,7581.49
2016-08-18,8823.44
2016-04-11,5642.81
2016-02-05,6634.71
2017-01-27,7328.11
2016-04-29,7476.73
2016-09-12,6939.51
2016-05-26,5932.89
2017-01-06,8614.34
2016-05-06,8313.1
2016-09-24,7374.42
2016-11-27,7419.99
2016-02-20,6980.6
2016-11-27,7984.0
2016-02-14,6290.18
2016-02-24,8025.16
2016-03-29,8644.37
2016-07-27,5489.3
2016-02-26,8674.82
2016-02-10,6707.07
2016-09-27,7544.05
